Log file started Fri Jan 07 18:21:57 2011
Fri Jan 07 18:26:57 2011: Client 2: Read key 6
Fri Jan 07 18:26:57 2011: Client 2: Read key 4
Fri Jan 07 18:26:57 2011: Client 2: Read key 0
Fri Jan 07 18:26:57 2011: Client 2: Read key 2
Fri Jan 07 18:26:58 2011: Client 2: Read key 10
Fri Jan 07 18:26:58 2011: Client 2: Read key 8
Fri Jan 07 18:26:58 2011: Client 2: Read key 1
Fri Jan 07 18:26:58 2011: Client 2: Read key 0
Fri Jan 07 18:26:58 2011: Client 2: Read key 2
Fri Jan 07 18:26:59 2011: Client 2: Read key 8
Fri Jan 07 18:26:59 2011: Client 2: Read key 2
Fri Jan 07 18:26:59 2011: Client 2: Read key 8
Fri Jan 07 18:26:59 2011: Client 2: Read key 0
Fri Jan 07 18:27:00 2011: Client 1: Read key 2
Fri Jan 07 18:27:00 2011: Client 1: Read key 0
Fri Jan 07 18:27:00 2011: Client 1: Read key 1
Fri Jan 07 18:27:01 2011: Client 1: Read key 5
Fri Jan 07 18:27:02 2011: Client 1: Read key 1
Fri Jan 07 18:27:02 2011: Client 1: Read key 0
